pan,tilt,distance,temperature,valid
42,82,76,48,1
40,82,92,48,1
38,82,90,48,1
36,82,89,48,1
34,82,87,48,1
32,82,86,48,1
30,82,85,48,1
28,82,84,48,1
26,82,84,48,1
24,82,83,48,1
22,82,83,48,1
20,82,82,48,1
18,82,82,48,1
16,82,60,48,1
14,82,56,48,1
12,82,56,48,1
10,82,53,48,1
8,82,53,48,1
6,82,52,48,1
4,82,59,48,1
2,82,81,48,1
0,79,87,48,1
2,79,89,48,1
4,79,89,48,1
6,79,87,48,1
8,79,66,48,1
10,79,54,48,1
12,79,54,48,1
14,79,55,48,1
16,79,57,48,1
18,79,60,48,1
20,79,80,48,1
22,79,84,48,1
24,79,85,48,1
26,79,85,48,1
28,79,86,48,1
30,79,86,48,1
32,79,87,48,1
34,79,88,48,1
36,79,89,48,1
38,79,91,48,1
40,79,90,48,1
42,79,80,48,1
44,79,81,48,1
46,79,94,48,1
48,79,106,48,1
50,79,119,48,1
52,79,136,48,1
54,79,158,48,1
56,79,175,48,1
58,79,195,48,1
60,79,0,48,0
62,79,0,48,0
64,79,125,48,1
66,79,124,48,1
68,79,107,48,1
70,79,107,48,1
72,79,106,48,1
74,79,113,48,1
76,79,113,48,1
78,79,112,48,1
80,79,122,48,1
82,79,121,48,1
84,79,0,48,0
86,79,0,48,0
88,79,0,48,0
90,79,0,48,0
92,79,0,48,0
94,79,210,48,1
96,79,342,48,1
98,79,340,48,1
100,79,341,48,1
102,79,341,48,1
104,79,342,48,1
106,79,341,48,1
108,79,344,48,1
110,79,342,48,1
112,79,343,48,1
114,79,342,48,1
116,79,345,48,1
118,79,345,48,1
120,79,345,48,1
122,79,344,48,1
124,79,346,48,1
126,79,347,48,1
128,79,349,48,1
130,79,347,48,1
132,79,349,48,1
134,79,349,48,1
136,79,349,48,1
138,79,350,48,1
140,79,350,48,1
142,79,352,48,1
144,79,353,48,1
146,79,353,48,1
148,79,356,48,1
150,79,356,48,1
152,79,353,48,1
154,79,347,48,1
156,79,332,48,1
158,79,321,48,1
160,79,308,48,1
162,79,302,48,1
164,79,290,48,1
166,79,285,48,1
168,79,279,48,1
170,79,272,48,1
172,79,267,48,1
174,79,260,48,1
176,79,256,48,1
178,79,251,48,1
180,82,248,48,1
178,82,244,48,1
176,82,247,48,1
174,82,251,48,1
172,82,256,48,1
170,82,260,48,1
168,82,266,48,1
166,82,271,48,1
164,82,280,48,1
162,82,286,48,1
160,82,293,48,1
158,82,299,48,1
156,82,311,48,1
154,82,322,48,1
152,82,334,48,1
