164,111,120,54,1
166,111,119,54,1
164,111,119,54,1
162,111,120,54,1
160,111,120,54,1
158,111,115,54,1
156,111,125,54,1
154,111,128,54,1
152,111,131,54,1
150,111,134,54,1
148,111,137,54,1
146,111,141,54,1
144,111,344,54,1
142,111,349,54,1
140,111,276,54,1
138,111,254,54,1
136,111,243,54,1
134,111,236,54,1
132,111,212,54,1
130,111,199,54,1
128,111,202,54,1
126,111,214,54,1
124,111,206,54,1
122,111,185,54,1
120,111,187,54,1
118,111,243,54,1
116,111,250,54,1
114,111,246,54,1
112,111,242,54,1
110,111,239,54,1
108,111,123,54,1
106,111,122,54,1
104,111,121,54,1
102,111,120,54,1
100,111,118,54,1
98,111,117,54,1
96,111,117,54,1
94,111,118,54,1
92,111,119,54,1
90,111,122,54,1
88,111,153,54,1
86,111,230,54,1
84,111,233,54,1
82,111,234,54,1
80,111,236,54,1
78,111,237,54,1
76,111,227,54,1
74,111,231,54,1
72,111,236,54,1
70,111,238,54,1
68,111,244,54,1
66,111,247,54,1
64,111,253,54,1
62,111,262,54,1
60,111,272,54,1
58,111,275,54,1
56,111,283,54,1
54,111,289,54,1
52,111,297,54,1
50,111,303,54,1
48,111,312,54,1
46,111,321,54,1
44,111,332,54,1
42,111,343,54,1
40,111,354,54,1
38,111,354,54,1
36,111,334,54,1
34,111,300,54,1
32,111,277,54,1
30,111,272,54,1
28,111,265,54,1
26,111,260,54,1
24,111,255,54,1
22,111,251,54,1
20,111,247,54,1
18,111,245,54,1
16,111,244,54,1
14,111,260,54,1
12,111,232,54,1
10,111,251,54,1
8,111,262,54,1
6,111,249,54,1
4,111,254,54,1
2,111,251,54,1
0,111,250,54,1
2,111,247,54,1
4,111,250,54,1
6,111,253,54,1
8,111,253,54,1
10,111,253,54,1
12,111,267,54,1
14,111,238,54,1
16,111,244,54,1
18,111,244,54,1
20,111,244,54,1
22,111,246,54,1
24,111,251,54,1
26,111,254,54,1
28,111,259,54,1
30,111,263,54,1
32,111,269,54,1
34,111,276,54,1
36,111,294,54,1
